mm_Lead__c,mm_Contact__c,mm_Stage__c,mm_Start_Date__c,Lead_Contact_Source__c,CreatedDate
,,Awaiting Customer,10/1/2024,,2024-10-01T21:58:38.000+0000
,,Closed,10/1/2024,,2024-10-01T21:59:24.000+0000
,,Evaluation,10/1/2024,,2024-10-01T22:00:03.000+0000
,,Open,10/1/2024,,2024-10-01T22:02:41.000+0000
,,Pending Customer Verification,10/1/2024,,2024-10-01T22:08:19.000+0000
,,Evaluation,10/1/2024,,2024-10-01T22:10:49.000+0000
,,Escalated,10/1/2024,,2024-10-01T22:24:01.000+0000
,,Pending Customer Verification,10/1/2024,,2024-10-01T22:24:35.000+0000
,,Evaluation,10/1/2024,,2024-10-01T22:25:45.000+0000
,,Customer Response,10/1/2024,,2024-10-01T22:29:17.000+0000
00QV500000AagJGMAZ,,Suspect,10/1/2024,Website,2024-10-01T22:52:21.000+0000
,,Customer Response,10/1/2024,,2024-10-01T23:10:01.000+0000
,,Pending Customer Verification,10/1/2024,,2024-10-01T23:23:39.000+0000
,,Open,10/1/2024,,2024-10-01T23:35:37.000+0000
,,Pending Customer Verification,10/1/2024,,2024-10-02T00:12:02.000+0000
,,Evaluation,10/1/2024,,2024-10-02T00:58:59.000+0000
,,Escalated,10/1/2024,,2024-10-02T01:44:48.000+0000
,,Escalated,10/1/2024,,2024-10-02T01:48:02.000+0000
,,Open,10/1/2024,,2024-10-02T01:50:36.000+0000
,,Evaluation,10/1/2024,,2024-10-02T01:57:02.000+0000
,,Closed,10/1/2024,,2024-10-02T01:57:56.000+0000
,,Pending Customer Verification,10/1/2024,,2024-10-02T01:59:08.000+0000
,,Open,10/1/2024,,2024-10-02T02:14:41.000+0000
,,Open,10/1/2024,,2024-10-02T02:14:43.000+0000
,,Open,10/1/2024,,2024-10-02T02:18:34.000+0000
,,Open,10/1/2024,,2024-10-02T02:19:36.000+0000
,,Evaluation,10/1/2024,,2024-10-02T02:25:18.000+0000
,,Closed,10/1/2024,,2024-10-02T02:25:35.000+0000
,,Evaluation,10/1/2024,,2024-10-02T02:26:24.000+0000
,,Closed,10/1/2024,,2024-10-02T02:26:48.000+0000
,,Customer Response,10/1/2024,,2024-10-02T02:56:19.000+0000
,,Evaluation,10/2/2024,,2024-10-02T04:32:24.000+0000
,,Open,10/2/2024,,2024-10-02T04:45:24.000+0000
,,Closed,10/2/2024,,2024-10-02T06:55:13.000+0000
,,Open,10/2/2024,,2024-10-02T09:05:45.000+0000
00QV500000Ac0dxMAB,,Suspect,10/2/2024,6sense SI,2024-10-02T09:09:50.000+0000
00QV500000Ac1i5MAB,,Suspect,10/2/2024,6sense SI,2024-10-02T09:19:09.000+0000
00QV500000AbxjKMAR,,Suspect,10/2/2024,6sense SI,2024-10-02T09:24:00.000+0000
00QV500000Abw7KMAR,,Suspect,10/2/2024,Linkedin Sales Navigator,2024-10-02T09:28:07.000+0000
00QV500000AbzOYMAZ,,Suspect,10/2/2024,6sense SI,2024-10-02T09:39:28.000+0000
00QV500000Ac5QjMAJ,,Suspect,10/2/2024,6sense SI,2024-10-02T10:00:05.000+0000
,,Open,10/2/2024,,2024-10-02T10:39:27.000+0000
,003V500000CnXARIA3,,10/2/2024,Support Case,2024-10-02T10:39:28.000+0000
